"✔Click to move selected players to the top","Player","forInfoClick  for player info popup","Team","PosPosition","CostPlayer's current price","MeritHow good the player is in terms of likelihood to score FPL points","FormOver/under-performance over the last 4 gameweeks compared to predicted points","Prob. ofAppear-ingProbability that the player will play at all in the next match","PtsRest OfSeasonPredicted FPL points for the rest of the season","ValueRest OfSeasonPlayer's value for the rest of the season (predicted points per million pounds excess cost)","PointsSo Far","OfficialChancePlayer's official chance of playing the next match","OfficialAvailability","SelectedBy %Percentage of managers owning this player","TransfersIn GWNumber of transfers in since the last transfer deadline","TransfersOut GWNumber of transfers out since the last transfer deadline","News"
"","Taty","","WHU","FWD","5.5","2.96","1","0.8","0","0","61","100","Available","0.3","0","0",""
"","Mosquera","","WOL","DEF","4.3","3.21","1","0.87","0","0","61","100","Available","0.1","0","0",""
"","Gray","","TOT","MID","4.8","2.16","1","0.39","0","0","61","100","Available","0.1","0","0",""
"","Aït-Nouri","","MCI","DEF","5.7","2.77","1","0.47","0","0","60","100","Available","4.1","0","0",""
"","Brooks","","BOU","MID","5","2.31","1","0.93","0","0","59","100","Available","0.2","0","0",""
"","Livramento","","NEW","DEF","4.9","2.94","1","0.01","0","0","59","0","Injured","1.8","0","0","Thigh injury - Expected back 01 Jun"
"","Hannibal","","BUR","MID","4.7","1.83","1","0.91","0","0","59","100","Available","0.1","0","0",""
"","Tchaouna","","BUR","MID","4.8","2.17","1","0.85","0","0","59","100","Available","0.0","0","0",""
"","Smith","","BOU","DEF","4.4","1.98","1","0.61","0","0","58","100","Available","0.2","0","0",""
"","Mount","","MUN","MID","5.9","1.8","1","0.75","0","0","58","100","Available","0.3","0","0",""
"","Foster","","BUR","FWD","4.9","1.67","1","0.57","0","0","58","100","Available","0.7","0","0",""
"","Estêvão","","CHE","MID","6.4","2.03","1","0.01","0","0","58","0","Injured","1.7","0","0","Hamstring injury - Expected back 01 Jun"
"","Martinelli","","ARS","MID","6.8","2.24","1","0.69","0","0","57","100","Available","0.9","0","0",""
"","Barkley","","AVL","MID","4.8","2.59","1","0.95","0","0","56","100","Available","0.1","0","0",""
"","Laurent","","BUR","MID","4.8","1.55","1","0.95","0","0","56","100","Available","0.0","0","0",""
"","Longstaff","","LEE","MID","4.8","1.73","1","0.83","0","0","56","100","Available","0.2","0","0",""
"","Marmoush","","MCI","MID","8.3","2.13","1","0.76","0","0","56","100","Available","2.9","0","0",""
"","Gruev","","LEE","MID","4.7","2","1","0.01","0","0","56","0","Injured","0.1","0","0","Knee injury - Expected back 01 Jun"
"","Garnacho","","CHE","MID","6.4","2.37","1","0.78","0","0","56","100","Available","0.4","0","0",""
"","Baleba","","BHA","MID","4.5","2.29","1","0.86","0","0","56","100","Available","1.5","0","0",""
"","Yoro","","MUN","DEF","4.1","2.01","1","0.52","0","0","56","100","Available","1.2","0","0",""
"","Robertson","","LIV","DEF","5.7","2.62","1","0.57","0","0","55","100","Available","1.2","0","0",""
"","Malen","","AVL","MID","5.1","2.29","1","0","0","0","55","0","Unavailable","0.4","0","0","has joined Roma on loan for the rest of the season."
"","Geertruida","","SUN","DEF","4.5","2.2","1","0.6","0","0","55","100","Available","0.1","0","0",""
"","Trippier","","NEW","DEF","4.9","2.61","1","0.65","0","0","54","100","Available","1.4","0","0",""
"","Hee Chan","","WOL","MID","5.6","1.99","1","0.75","0","0","54","100","Available","0.1","0","0",""
"","Maatsen","","AVL","DEF","4.2","2.75","1","0.84","0","0","54","100","Available","0.5","0","0",""
"","Walker-Peters","","WHU","DEF","4.2","2.05","1","0.43","0","0","53","100","Available","0.3","0","0",""
"","Mazraoui","","MUN","DEF","4.9","2.44","1","0.57","0","0","53","100","Available","0.3","0","0",""
"","McNeil","","EVE","MID","5.5","2.51","1","0.64","0","0","53","100","Available","0.1","0","0",""
"","Morato","","NFO","DEF","4.3","2.25","1","0.77","0","0","53","100","Available","0.1","0","0",""
"","Henry","","BRE","DEF","4.3","2.12","1","0.01","0","0","52","0","Injured","0.1","0","0","Hamstring injury - Expected back 01 Jun"
"","Kolo Muani","","TOT","FWD","6.9","1.85","1","0.86","0","0","52","100","Available","0.4","0","0",""
"","Ekdal","","BUR","DEF","3.8","2.59","1","0.4","0","0","52","100","Available","0.7","0","0",""
"","Tchatchoua","","WOL","DEF","4.4","2","1","0.48","0","0","52","100","Available","0.0","0","0",""
"","Areola","","WHU","GK","4.2","2.8","1","0.08","0","0","51","100","Available","1.9","0","0",""
"","Schär","","NEW","DEF","5.2","3.48","1","0.01","0","0","51","0","Injured","1.1","0","0","Ankle injury - Expected back 01 Jun"
"","Edwards","","BUR","MID","4.7","2.04","1","0.45","0","0","51","100","Available","0.1","0","0",""
"","Martinez","","MUN","DEF","4.8","2.78","1","0.77","0","0","51","100","Available","0.4","0","0",""
"","Mings","","AVL","DEF","4.3","2.76","1","0.52","0","0","50","100","Available","0.6","0","0",""
"","Ndoye","","NFO","MID","5.5","1.49","1","0.34","0","0","50","100","Available","0.7","0","0",""
"","Disasi","","WHU","DEF","4.5","2.91","1","0.93","0","0","49","100","Available","0.2","0","0",""
"","Kevin","","FUL","MID","5.7","1.75","1","0.88","0","0","49","100","Available","0.1","0","0",""
"","Bergvall","","TOT","MID","5.2","1.47","1","0.75","0","0","49","100","Available","0.2","0","0",""
"","Dominguez","","NFO","MID","5","1.69","1","0.93","0","0","48","100","Available","0.0","0","0",""
"","Elanga","","NEW","MID","6.5","1.81","1","0.7","0","0","48","100","Available","2.6","0","0",""
"","R.Gomes","","WOL","DEF","4.4","2.31","1","0.94","0","0","48","100","Available","0.1","0","0",""
"","Christie","","BOU","MID","4.9","1.55","1","0","0","0","47","0","Suspended","0.1","0","0","Suspended until 29 Aug"
"","Humphreys","","BUR","DEF","3.9","2.02","1","0.75","0","0","47","100","Available","0.1","0","0",""
"","Andrey Santos","","CHE","MID","4.4","2.18","1","0.76","0","0","47","100","Available","0.3","0","0",""
"","Veltman","","BHA","DEF","4.3","1.71","1","0.87","0","0","46","100","Available","0.1","0","0",""
"","Diakité","","BOU","DEF","4.1","2.22","1","0.03","0","0","46","100","Available","0.3","0","0",""
"","Todibo","","WHU","DEF","4.3","1.96","1","0.66","0","0","46","100","Available","0.1","0","0",""
"","Odobert","","TOT","MID","5.3","2.18","1","0","0","0","46","0","Injured","0.0","0","0","Knee injury - Unknown return date"
"","Hughes","","CRY","MID","4.7","1.9","1","0.48","0","0","45","100","Available","0.1","0","0",""
"","White","","ARS","DEF","5.1","2.83","1","0.59","0","0","45","0","Injured","0.5","0","0","Knee injury - Expected back 24 May"
"","J.Arias","","WOL","MID","4.9","2.33","1","0","0","0","45","0","Unavailable","0.1","0","0","has joined Palmeiras permanently."
"","Delap","","CHE","FWD","6.2","1.74","1","0.83","0","0","45","100","Available","0.9","0","0",""
"","Bellegarde","","WOL","MID","5.1","1.77","1","0.76","0","0","44","100","Available","0.0","0","0",""
"","Gallagher","","TOT","MID","5","2.93","1","0.95","0","0","44","100","Available","0.2","0","0",""
"","Guessand","","CRY","MID","6.2","1.89","1","0.87","0","0","44","100","Available","0.0","0","0",""
"","Perri","","LEE","GK","4.4","2.62","1","0.08","0","0","43","100","Available","0.3","0","0",""
"","De Ligt","","MUN","DEF","4.9","3.62","1","0.01","0","0","43","0","Injured","1.8","0","0","Back injury - Expected back 01 Jun"
"","Awoniyi","","NFO","FWD","5.2","1.93","1","0.78","0","0","43","100","Available","0.4","0","0",""
"","Broja","","BUR","FWD","5.2","1.47","1","0.52","0","0","43","100","Available","0.1","0","0",""
"","Savinho","","MCI","MID","6.9","2.1","1","0.82","0","0","43","100","Available","0.4","0","0",""
"","Ngumoha","","LIV","MID","4.3","2.25","1","0.83","0","0","43","100","Available","1.4","0","0",""
"","Zirkzee","","MUN","FWD","5.8","1.26","1","0.81","0","0","42","100","Available","0.4","0","0",""
"","Bobb","","FUL","MID","5.1","2.06","1","0.95","0","0","42","100","Available","0.2","0","0",""
"","Bradley","","LIV","DEF","4.9","2.73","1","0.01","0","0","42","0","Injured","0.1","0","0","Knee injury - Expected back 01 Jun"
"","S.Magassa","","WHU","MID","5","1.54","1","0.4","0","0","42","100","Available","0.0","0","0",""
"","Heaven","","MUN","DEF","3.7","2.27","1","0.44","0","0","42","100","Available","2.6","0","0",""
"","Wood","","NFO","FWD","7.1","2.97","1","0.89","0","0","41","100","Available","4.7","0","0",""
"","Cairney","","FUL","MID","4.8","1.65","1","0.55","0","0","41","100","Available","0.0","0","0",""
"","Bruun Larsen","","BUR","MID","5.2","1.42","1","0.62","0","0","41","100","Available","0.0","0","0",""
"","Isak","","LIV","FWD","10.3","2.86","1","0.36","0","0","41","100","Available","3.8","0","0",""
"","Kluivert","","BOU","MID","6.9","2.66","1","0.88","0","0","41","100","Available","0.6","0","0",""
"","Toti","","WOL","DEF","4.2","2.88","1","0.59","0","0","41","100","Available","0.1","0","0",""
"","Ward-Prowse","","BUR","MID","5.6","2.38","1","0.91","0","0","40","100","Available","0.2","0","0",""
"","Solanke","","TOT","FWD","7.1","2.8","1","0.87","0","0","40","100","Available","1.1","0","0",""
"","Cook","","BOU","MID","4.9","2.06","1","0.84","0","0","40","100","Available","0.0","0","0",""
"","Mosquera","","ARS","DEF","5.3","2.27","1","0.8","0","0","40","100","Available","0.3","0","0",""
"","Bogarde","","AVL","DEF","4","1.85","1","0.57","0","0","40","100","Available","0.5","0","0",""
"","Mayenda","","SUN","FWD","5.1","1.67","1","0.37","0","0","40","100","Available","0.5","0","0",""
"","Armstrong","","WOL","FWD","5.1","2.67","1","0.95","0","0","39","100","Available","0.1","0","0",""
"","Boscagli","","BHA","DEF","4.2","2.76","1","0.46","0","0","39","100","Available","0.1","0","0",""
"","J.Cuenca","","FUL","DEF","4.3","1.67","1","0.1","0","0","39","100","Available","0.1","0","0",""
"","Savona","","NFO","DEF","4.5","2.72","1","0","0","0","39","0","Injured","0.0","0","0","Knee injury - Unknown return date"
"","Acheampong","","CHE","DEF","3.7","1.48","1","0.53","0","0","39","100","Available","1.8","0","0",""
"","Willock","","NEW","MID","5","1.97","1","0.68","0","0","38","100","Available","0.1","0","0",""
"","Ugarte","","MUN","MID","4.7","1.79","1","0.3","0","0","38","100","Available","0.1","0","0",""
"","Munetsi","","WOL","MID","5.3","2.52","1","0","0","0","38","0","Unavailable","0.0","0","0","has joined Paris FC on loan for the rest of the season."
"","Sancho","","AVL","MID","5.8","1.77","1","0.77","0","0","37","100","Available","0.2","0","0",""
"","Chiesa","","LIV","MID","6.3","1.15","1","0.71","0","0","37","100","Available","0.3","0","0",""
"","Hickey","","BRE","DEF","4","1.55","1","0.48","0","0","37","100","Available","0.3","0","0",""
"","Potts","","WHU","MID","4.3","1.64","1","0.29","0","0","37","100","Available","0.5","0","0",""
"","Aké","","MCI","DEF","5.2","1.95","1","0.42","0","0","36","100","Available","0.6","0","0",""
"","Kilman","","WHU","DEF","4","1.91","1","0.04","0","0","36","100","Available","0.1","0","0",""
"","Havertz","","ARS","FWD","7.3","3.09","1","0.9","0","0","36","100","Available","0.7","0","0",""
"","Muniz","","FUL","FWD","5.3","2.08","1","0.95","0","0","36","100","Available","0.7","0","0",""
"","Devenny","","CRY","MID","4.3","2.03","1","0.2","0","0","36","100","Available","1.1","0","0",""
"","Röhl","","EVE","MID","5","2","1","0.62","0","0","36","100","Available","0.0","0","0",""
"","Rigg","","SUN","MID","4.7","1.91","1","0.6","0","0","36","100","Available","0.1","0","0",""
"","Milner","","BHA","MID","4.9","2.01","1","0.28","0","0","35","100","Available","0.1","0","0",""
"","Douglas Luiz","","AVL","MID","4.9","1.86","1","0.76","0","0","35","100","Available","0.1","0","0",""
"","Møller Wolfe","","WOL","DEF","4.2","1.78","1","0.58","0","0","35","100","Available","0.1","0","0",""
"","Gruda","","BHA","MID","5.4","2.16","1","0","0","0","35","0","Unavailable","0.0","0","0","has joined Leipzig on loan for the rest of the season."
"","Kostoulas","","BHA","FWD","4.8","1.39","1","0.65","0","0","35","100","Available","0.3","0","0",""
"","Tosin","","CHE","DEF","4","1.88","1","0.29","0","0","34","100","Available","0.3","0","0",""
"","Tuanzebe","","BUR","DEF","3.9","1.99","1","0.5","0","0","34","100","Available","0.9","0","0",""
"","Mamardashvili","","LIV","GK","4.1","3.49","1","0.26","0","0","34","100","Available","0.7","0","0",""
"","Adingra","","SUN","MID","4.9","1.86","1","0","0","0","34","0","Unavailable","0.3","0","0","has joined AS Monaco on loan for the rest of the season."
"","Gomez","","LIV","DEF","4.9","1.33","1","0.83","0","0","33","100","Available","0.2","0","0",""
"","Branthwaite","","EVE","DEF","5.3","3.16","1","0.01","0","0","32","0","Injured","0.3","0","0","Hamstring injury - Expected back 01 Jun"
"","Gnonto","","LEE","MID","5.1","1.22","1","0.84","0","0","32","100","Available","0.1","0","0",""
"","Diop","","FUL","DEF","4.3","2.53","1","0.45","0","0","31","100","Available","0.1","0","0",""
"","Traoré","","SUN","MID","5.5","2.04","1","0.15","0","0","30","100","Available","0.0","0","0",""
"","Yates","","NFO","MID","4.7","1.2","1","0.72","0","0","30","100","Available","0.1","0","0",""
"","Lindelöf","","AVL","DEF","4.5","2.11","1","0.61","0","0","29","100","Available","0.1","0","0",""
"","Udogie","","TOT","DEF","4.3","2.32","1","0.91","0","0","29","100","Available","0.3","0","0",""
"","Lewis-Skelly","","ARS","DEF","5","1.87","1","0.68","0","0","29","100","Available","1.9","0","0",""
"","Alcaraz","","EVE","MID","5.2","1.5","1","0.55","0","0","29","100","Available","0.1","0","0",""
"","Enes Ünal","","BOU","FWD","5.4","1.15","1","0.84","0","0","27","100","Available","0.0","0","0",""
"","Wissa","","NEW","FWD","7.3","1.99","1","0.82","0","0","27","100","Available","0.6","0","0",""
"","O'Nien","","SUN","DEF","4","2.28","1","0.51","0","0","26","100","Available","0.1","0","0",""
"","Bakwa","","NFO","MID","5.9","1.99","1","0.65","0","0","26","100","Available","0.0","0","0",""
"","Pablo","","WHU","FWD","5.4","2.19","1","0.81","0","0","26","100","Available","0.0","0","0",""
"","Adama","","WHU","MID","5.1","1.22","1","0.05","0","0","25","25","Doubtful","0.1","0","0","Muscle injury - 25% chance of playing"
"","Ramsdale","","NEW","GK","4.8","2.47","1","0.1","0","0","25","100","Available","0.7","0","0",""
"","Bornauw","","LEE","DEF","3.8","1.44","1","0.43","0","0","25","100","Available","0.1","0","0",""
"","Gittens","","CHE","MID","6","1.62","1","0.04","0","0","25","25","Doubtful","0.1","0","0","Hamstring injury - 25% chance of playing"
"","Lucas Pires","","BUR","DEF","3.8","2.07","1","0.74","0","0","25","100","Available","0.3","0","0",""
"","G.Jesus","","ARS","FWD","6.4","1.84","1","0.27","0","0","24","100","Available","0.4","0","0",""
"","Abraham","","AVL","FWD","5.7","1.85","1","0.61","0","0","23","100","Available","0.2","0","0",""
"","James","","LEE","MID","5.2","1.48","1","0.87","0","0","23","100","Available","0.1","0","0",""
"","Nketiah","","CRY","FWD","5.4","1.82","1","0.01","0","0","23","0","Injured","0.3","0","0","Hamstring injury - Expected back 01 Jun"
"","Agbadou","","WOL","DEF","4.2","2.67","1","0","0","0","23","0","Unavailable","0.1","0","0","has joined Besiktas permanently."
"","Patterson","","EVE","DEF","4.4","1.76","1","0.17","0","0","22","100","Available","0.0","0","0",""
"","Johnstone","","WOL","GK","4.4","2.54","1","0","0","0","21","0","Injured","0.1","0","0","Shoulder injury - Expected back 25 May"
"","Bailey","","AVL","MID","5.5","1.86","1","0.64","0","0","21","100","Available","0.1","0","0",""
"","Scarles","","WHU","DEF","4.3","1.66","1","0.21","0","0","21","100","Available","0.0","0","0",""
"","Armstrong","","EVE","MID","4.5","1.53","1","0.28","0","0","21","100","Available","0.1","0","0",""
"","Worrall","","BUR","DEF","3.8","1.82","1","0.14","0","0","20","100","Available","0.2","0","0",""
"","Kinsky","","TOT","GK","3.9","3.27","1","0.5","0","0","20","100","Available","1.9","0","0",""
"","Chadi Riad","","CRY","DEF","4","2.32","1","0.43","0","0","20","100","Available","0.1","0","0",""
"","Lewis","","MCI","DEF","4.6","1.69","1","0.02","0","0","19","100","Available","1.2","0","0",""
"","Hato","","CHE","DEF","4.6","2.04","1","0.84","0","0","19","100","Available","0.2","0","0",""
"","Milosavljević","","BOU","DEF","4.4","2.37","1","0.01","0","0","19","100","Available","0.0","0","0",""
"","Dibling","","EVE","MID","5.3","1.29","1","0.07","0","0","18","100","Available","0.0","0","0",""
"","Clyne","","CRY","DEF","3.8","2.17","1","0.23","0","0","17","100","Available","0.5","0","0",""
"","Bissouma","","TOT","MID","5.2","1.48","1","0.55","0","0","17","100","Available","0.0","0","0",""
"","Piroe","","LEE","FWD","4.9","1.14","1","0.39","0","0","17","100","Available","0.3","0","0",""
"","McAtee","","NFO","MID","5","1.38","1","0.62","0","0","17","100","Available","0.1","0","0",""
"","Dragusin","","TOT","DEF","4.5","1.76","1","0.24","0","0","17","100","Available","0.0","0","0",""
"","Uche","","CRY","FWD","5.5","1.2","1","0.08","0","0","17","100","Available","0.1","0","0",""
"","M.Bizot","","AVL","GK","4.2","2.4","1","0.08","0","0","16","100","Available","0.4","0","0",""
"","Stones","","MCI","DEF","5.4","2.13","1","0.2","0","0","16","100","Available","0.6","0","0",""
"","Angel","","WOL","MID","4.6","1.61","1","0.75","0","0","16","100","Available","0.0","0","0",""
"","O'Riley","","BHA","MID","5.5","2.06","1","0.25","0","0","16","100","Available","0.3","0","0",""
"","Ellborg","","SUN","GK","4","2.99","1","0.08","0","0","16","100","Available","0.1","0","0",""
"","George","","EVE","MID","4.8","1.45","1","0.78","0","0","16","100","Available","0.1","0","0",""
"","Tzimas","","BHA","FWD","5.2","1.51","1","0.01","0","0","16","0","Injured","0.1","0","0","Knee injury - Expected back 01 Jun"
"","Dowman","","ARS","MID","4.2","1.71","1","0.29","0","0","16","100","Available","0.9","0","0",""
"","Reed","","FUL","MID","4.3","1.25","1","0.23","0","0","15","100","Available","0.3","0","0",""
"","Doherty","","WOL","DEF","4.4","2.2","1","0.01","0","0","14","0","Injured","0.1","0","0","Knock - Expected back 01 Jun"
"","Pinnock","","BRE","DEF","4.2","2.65","1","0.05","0","0","14","100","Available","0.1","0","0",""
"","Cirkin","","SUN","DEF","4","1.2","1","0.21","0","0","14","100","Available","0.0","0","0",""
"","Mundle","","SUN","MID","4.9","1.51","1","0.01","0","0","14","0","Injured","0.0","0","0","Hamstring injury - Expected back 01 Jun"
"","Nelson","","BRE","MID","4.8","1.4","1","0.23","0","0","13","100","Available","0.1","0","0",""
"","Carvalho","","BRE","MID","4.6","1.46","1","0.01","0","0","13","0","Injured","0.1","0","0","Knee injury - Expected back 01 Jun"
"","Trafford","","MCI","GK","4.5","3.26","1","0.08","0","0","13","100","Available","0.9","0","0",""
"","Marc Guiu","","CHE","FWD","4","1.32","1","0.11","0","0","13","100","Available","5.2","0","0",""
"","Lavia","","CHE","MID","4.9","1.58","1","0.38","0","0","13","75","Doubtful","0.0","0","0","Knock - 75% chance of playing"
"","Sonne","","BUR","DEF","3.8","1.51","1","0","0","0","13","0","Unavailable","0.2","0","0","has joined Sparta Prague on loan for the rest of the season."
"","Angulo","","SUN","MID","5","2.13","1","0.82","0","0","13","100","Available","0.0","0","0",""
"","Jair Cunha","","NFO","DEF","4.2","1.97","1","0.85","0","0","13","100","Available","0.1","0","0",""
"","Füllkrug","","WHU","FWD","5.6","1.78","1","0","0","0","12","0","Unavailable","0.6","0","0","has joined AC Milan on loan for the rest of the season."
"","Endo","","LIV","MID","4.9","1.24","1","0.18","0","0","12","50","Doubtful","0.1","0","0","Foot injury - 50% chance of playing"
"","Harrison","","LEE","MID","5.1","1.66","1","0","0","0","12","0","Unavailable","0.0","0","0","has joined ACF Fiorentina on loan for the rest of the season."
"","Onyeka","","BRE","MID","4.8","1.42","1","0","0","0","12","0","Unavailable","0.0","0","0","has joined Coventry City on loan for the rest of the season."
"","Fer López","","WOL","MID","5.1","1.58","1","0","0","0","12","0","Unavailable","0.0","0","0","has joined Celta Vigo on loan for the rest of the season."
"","Ortega Moreno","","NFO","GK","4.7","2.94","1","0.02","0","0","11","100","Available","0.2","0","0",""
"","John","","NFO","GK","4","2.75","1","0","0","0","11","100","Available","0.3","0","0",""
"","Bayindir","","MUN","GK","4.7","3.06","1","0.08","0","0","11","100","Available","0.3","0","0",""
"","Netz","","NFO","DEF","4.5","2.08","1","0.67","0","0","11","100","Available","0.0","0","0",""
"","Gannon-Doak","","BOU","MID","4.8","1.47","1","0.33","0","0","11","100","Available","0.0","0","0",""
"","Davies","","TOT","DEF","4.3","1.76","1","0","0","0","10","0","Injured","0.1","0","0","Ankle injury - Unknown return date"
"","Hoever","","WOL","DEF","3.8","1.91","1","0","0","0","10","0","Unavailable","0.8","0","0","has joined Sheffield United on loan for the rest of the season."
"","Coppola","","BHA","DEF","4.2","1.62","1","0","0","0","10","0","Unavailable","0.0","0","0","has joined Paris FC on loan for the rest of the season."
"","Pedro Lima","","WOL","DEF","4","1.68","1","0.73","0","0","10","100","Available","0.4","0","0",""
"","Kovačić","","MCI","MID","5.8","1.83","1","0.65","0","0","9","100","Available","0.0","0","0",""
"","Irving","","WHU","MID","4.3","1.27","1","0","0","0","9","0","Unavailable","0.2","0","0","has joined Sparta Prague permanently."
"","Kalimuendo","","NFO","FWD","6","1.36","1","0","0","0","9","0","Unavailable","0.1","0","0","has joined Eintracht Frankfurt on loan for the rest of the season."
"","Lucca","","NFO","FWD","5.3","1.91","1","0.23","0","0","9","100","Available","0.0","0","0",""
"","Jörgensen","","CHE","GK","4.3","2.92","1","0.09","0","0","9","100","Available","0.2","0","0",""
"","Mohamadou Kanté","","WHU","MID","4.5","0.73","1","0.47","0","0","9","100","Available","0.0","0","0",""
"","G.Rodriguez","","WHU","MID","4.8","1.24","1","0","0","0","8","0","Unavailable","0.0","0","0","has joined Valencia on loan for the rest of the season."
"","Colwill","","CHE","DEF","4.7","3.78","1","0.55","0","0","8","100","Available","0.2","0","0",""
"","Nwaneri","","ARS","MID","5","1.67","1","0","0","0","8","0","Unavailable","0.1","0","0","has joined Marseille on loan for the rest of the season."
"","Edozie","","WOL","MID","4.3","1.35","1","0.22","0","0","8","100","Available","0.4","0","0",""
"","Tóth.A","","BOU","MID","4.9","1.36","1","0.49","0","0","8","100","Available","0.0","0","0",""
"","Benitez","","CRY","GK","3.9","2.77","1","0.08","0","0","7","100","Available","0.3","0","0",""
"","Nørgaard","","ARS","MID","5.1","1.6","1","0.09","0","0","7","100","Available","0.1","0","0",""
"","Zinchenko","","NFO","DEF","4.9","2.61","1","0","0","0","7","0","Unavailable","0.2","0","0","has joined Ajax permanently."
"","B.Badiashile","","CHE","DEF","4.4","1.93","1","0.03","0","0","7","100","Available","0.0","0","0",""
"","Weiss","","BUR","GK","4.2","3.17","1","0.75","0","0","7","100","Available","0.2","0","0",""
"","Bentley","","WOL","GK","3.9","2.79","1","0.02","0","0","6","100","Available","0.5","0","0",""
"","Woodman","","LIV","GK","3.9","2.62","1","0.02","0","0","6","100","Available","0.3","0","0",""
"","Sosa","","CRY","DEF","4.8","1.26","1","0.2","0","0","6","75","Doubtful","0.1","0","0","Knock - 75% chance of playing"
"","Igor","","BHA","DEF","4.5","1.68","1","0","0","0","6","100","Available","0.1","0","0",""
"","Trésor","","BUR","MID","4.3","1.01","1","0.23","0","0","6","100","Available","0.1","0","0",""
"","Nyoni","","LIV","MID","4.3","1.11","1","0.14","0","0","6","100","Available","0.3","0","0",""
"","Mayers","","WHU","DEF","4","1.36","1","0.04","0","0","6","100","Available","0.0","0","0",""
"","Kusi-Asare","","FUL","FWD","4.5","0.84","1","0.01","0","0","6","0","Injured","0.1","0","0","Knee injury - Expected back 01 Jun"
"","Barnes","","BUR","FWD","4.2","0.82","1","0.13","0","0","5","100","Available","1.2","0","0",""
"","Coleman","","EVE","DEF","4.2","1.28","1","0.23","0","0","5","100","Available","0.1","0","0",""
"","Elliott","","AVL","MID","5.1","1.56","1","0.02","0","0","5","100","Available","0.2","0","0",""
"","Alleyne","","MCI","DEF","3.9","2.49","1","0.01","0","0","5","100","Available","0.0","0","0",""
"","Watson","","BHA","MID","4.8","1.23","1","0","0","0","5","0","Unavailable","0.0","0","0","has joined Millwall on loan for the rest of the season."
"","L.Guilherme","","WHU","MID","4.9","1.24","1","0","0","0","5","0","Unavailable","0.0","0","0","has joined Sporting CP permanently."
"","A.García","","AVL","DEF","3.9","1.18","1","0.14","0","0","5","100","Available","0.2","0","0",""
"","March","","BHA","MID","5.8","1.73","1","0.62","0","0","4","100","Available","0.0","0","0",""
"","H.Traorè","","BOU","MID","4.5","1.52","1","0","0","0","4","0","Unavailable","0.3","0","0","has joined Marseille on loan for the rest of the season."
"","Amdouni","","BUR","FWD","4.8","1.56","1","0.79","0","0","4","100","Available","0.0","0","0",""
"","Howell","","BHA","MID","4.5","1.41","1","0.07","0","0","4","100","Available","0.0","0","0",""
"","Donovan","","BRE","MID","4.4","1.13","1","0.07","0","0","4","100","Available","0.1","0","0",""
"","Esse","","CRY","MID","4.7","1.44","1","0","0","0","4","0","Unavailable","0.1","0","0","has joined Coventry City on loan for the rest of the season."
"","Maddison","","TOT","MID","6.8","2.57","1","0.72","0","0","3","100","Available","0.3","0","0",""
"","N.Aguerd","","WHU","DEF","4.4","3.04","1","0","0","0","3","0","Unavailable","0.0","0","0","has joined Marseille permanently."
"","Malacia","","MUN","DEF","3.7","1.39","1","0.04","0","0","3","100","Available","0.6","0","0",""
"","Neil","","SUN","MID","4.8","1.61","1","0","0","0","3","0","Unavailable","0.0","0","0","has joined Ipswich Town on loan for the rest of the season."
"","Buonanotte","","LEE","MID","4.6","1.34","1","0.02","0","0","3","100","Available","0.1","0","0",""
"","J.Fletcher","","MUN","MID","4.3","1.32","1","0.01","0","0","3","100","Available","0.1","0","0",""
"","Abbott","","NFO","DEF","3.8","1.73","1","0.23","0","0","3","100","Available","0.2","0","0",""
"","M.Sarr","","CHE","DEF","4.5","2.46","1","0.27","0","0","3","100","Available","0.0","0","0",""
"","Soler","","BOU","DEF","3.9","1.15","1","0","0","0","3","100","Available","0.2","0","0",""
"","Lacey","","MUN","MID","4.5","1.21","1","0.01","0","0","3","100","Available","0.0","0","0",""
"","Souza","","TOT","DEF","4","1.57","1","0.12","0","0","3","100","Available","0.0","0","0",""
"","Alysson","","AVL","MID","5","1.77","1","0","0","0","3","0","Injured","0.0","0","0","Muscle injury - Unknown return date"
"","Arrizabalaga","","ARS","GK","4","3.3","1","0.08","0","0","2","100","Available","0.4","0","0",""
"","Byram","","LEE","DEF","3.7","1.69","1","0.21","0","0","2","100","Available","0.4","0","0",""
"","Dasilva","","BRE","MID","4.9","1.93","1","0.61","0","0","2","100","Available","0.0","0","0",""
"","Scarlett","","TOT","FWD","4.3","1.03","1","0","0","0","2","0","Unavailable","0.5","0","0","has joined Hibernian on loan for the rest of the season."
"","Chirewa","","WOL","MID","4.3","1.29","1","0","0","0","2","0","Unavailable","0.2","0","0","has joined Barnsley on loan for the rest of the season."
"","Seelt","","SUN","DEF","4","2.21","1","0","0","0","2","0","Unavailable","0.1","0","0","has joined Wolfsburg on loan for the rest of the season."
"","Fletcher","","MUN","MID","4.4","1.14","1","0.01","0","0","2","100","Available","0.0","0","0",""
"","A.Murphy","","NEW","DEF","3.8","1.76","1","0.01","0","0","2","100","Available","0.7","0","0",""
"","Marshall","","WHU","FWD","4.3","1.04","1","0","0","0","2","0","Unavailable","0.5","0","0","has joined VfL Bochum 1848 on loan for the rest of the season."
"","George Hemmings","","AVL","MID","4.5","1.19","1","0.01","0","0","2","100","Available","0.0","0","0",""
"","Cardines","","CRY","MID","4.4","1.56","1","0","0","0","2","100","Available","0.3","0","0",""
